gene	log2FC	p	padj	n
AGTPBP1	-0.95758125	4.8012638173406e-06	0.0846737099620288	8
SLC5A3	-1.08050575	5.24431528608621e-06	0.0846737099620288	8
SLC5A3	-0.751648499999999	1.70415903523215e-05	0.096167999904757	8
TFAP2C	-1.58746225	1.73291287331754e-05	0.096167999904757	8
EML1	-0.882120249999999	4.38072588686983e-05	0.183466861489169	8
CRABP2	-1.46008725	4.47434582989254e-05	0.183466861489169	8
RXFP1	-3.0589755	4.95901058174166e-05	0.183466861489169	8
TPCN1	-0.957164	6.36885574850971e-05	0.192785263507389	8
SHC3	-1.03520025	8.86282843143217e-05	0.215551137052886	8
SLC17A5	-0.944609250000001	9.53095817897278e-05	0.215551137052886	8
DACH1	-1.25505575	9.71038548756132e-05	0.215551137052886	8
PLEKHG1	-0.649401999999998	0.000107160686415977	0.22300808597455	8
RSPO3	-1.72520275	0.000116733656846881	0.22864003364886	8
BTG2	-0.645888249999998	0.000131192276156176	0.229956742550574	8
ZNF75D	-0.695069749999999	0.000140343355686205	0.233650635714178	8
POLR2M	-0.513269999999997	0.000162933211760703	0.239834316916593	8
S100A4	-1.4880375	0.000165373498719706	0.239834316916593	8
MFAP4	-0.998439999999999	0.000165666254890279	0.239834316916593	8
OAF	-0.5579215	0.000184298255957827	0.246303681532282	8
ANG	-0.7809215	0.000196336422624903	0.246303681532282	8
APOD	-2.08673	0.000217014185290136	0.246303681532282	8
PGRMC1	-0.82776325	0.00021711039920235	0.246303681532282	8
IQGAP2	-1.10253275	0.000220133817717815	0.246303681532282	8
PRLR	-2.04335425	0.000235984450701635	0.253470137258463	8
U2AF1L4	-0.65953625	0.00025408592502644	0.263837059634569	8
SUGCT	0.560648750000001	0.000304682111328301	0.28389379561332	8
HPSE2	-0.832991499999999	0.000306939863713833	0.28389379561332	8
NTPCR	-0.630257999999999	0.000341220883614375	0.304589024347044	8
CXCL12	-1.9387965	0.000355099335497771	0.304589024347044	8
COLEC12	-1.77505525	0.000368097404444861	0.306188737411849	8
GLUL	-0.5839115	0.000386218787617433	0.306188737411849	8
ZNF619	-0.5283595	0.000434969489916944	0.320984857831161	8
HTR1D	1.7840445	0.000445803125541457	0.320984857831161	8
MYLIP	-0.9396855	0.000458839904492259	0.320984857831161	8
GCOM1	-0.61387075	0.000464873937469468	0.320984857831161	8
LY75-CD302	-0.844154249999998	0.000500692375262521	0.332314067875557	8
FABP3	-1.60732875	0.000535349038753222	0.332314067875557	8
MRGPRF	-0.758106999999999	0.000542260661159258	0.332314067875557	8
CFH	-2.14060075	0.000548916531013473	0.332314067875557	8
SNORD27	-0.658869749999999	0.000559328526350539	0.332570748962391	8
STC1	-0.938698249999999	0.000591031442954223	0.345255683439417	8
SYT16	1.03636925	0.000626846197158014	0.353217990399802	8
KITLG	-1.3235905	0.000647094255169773	0.353217990399802	8
LSAMP	-0.867441999999999	0.000683566440363113	0.367108254270493	8
DBN1	0.462233500000001	0.00070195499540019	0.367588577231293	8
SIAE	-0.619714499999999	0.000706540197098919	0.367588577231293	8
PM20D1-AS1	0.708938250000001	0.000731623984467699	0.374782827858784	8
TNFRSF1A	-0.464779749999999	0.000776043884840842	0.385670645276799	8
PKIG	-0.69864125	0.000830113599065689	0.3924105230115	8
