gene	log2FC	                          p	               padj	        n
NDUFAF7	3.35808392991439	5.86889755647391e-07	0.00776865969550451	9
PCDHGA10 -3.23967209801812      5.10365319035606e-06	0.0315001328771932	9
MCHR1	-2.21160715383275	1.03864808391111e-05	0.0315001328771932	9
TSPAN8	2.85757036130691	1.04923579440072e-05	0.0315001328771932	9
EGOT	-2.57553991747377	1.18985166114653e-05	0.0315001328771932	9
MED25	-2.30926563746834	1.93642964399722e-05	0.0355839053865269	9
SIAH2	-1.27257016805846	2.0284369502141e-05	0.0355839053865269	9
FLRT2	1.34618777299336	2.30220025571696e-05	0.0355839053865269	9
MAPRE3	-1.52642224044078	2.41939373331375e-05	0.0355839053865269	9
GRM2	-2.83858717224185	3.05850340393908e-05	0.0368732334112828	9
SNRPD1	1.20711525299411	3.0948245101502e-05	0.0368732334112828	9
HNRNPA2B1 1.46997242691952	3.34274232027948e-05	0.0368732334112828	9
LSM1	1.53320742659461	3.67968986800445e-05	0.0374677344482884	9
GTF2A1	1.99666832021091	4.32694783380512e-05	0.0408084986857241	9
SNRPD3	1.5662497518685	        4.6755043595862e-05	0.0408084986857241	9
LGALS2	1.92746048236581	5.19114419608138e-05	0.0408084986857241	9
PCDHGA3	-2.69805539695991	5.24094944214935e-05	0.0408084986857241	9
SCNN1B	-1.42598768666338	5.87851795199062e-05	0.0432299678502777	9
SLC25A30 -1.82362188897959	6.54366142081775e-05	0.0455886559091392	9
PAK1IP1	2.64216510469166	7.69896765163826e-05	0.049484560816691	9
HERC2P3	-2.08892258379868	7.85053846906784e-05	0.049484560816691	9
CKS2	1.8083365013666	         8.37257051085217e-05	0.0503762344782501	9
EXOC3	-2.13543996686767	8.97459923451881e-05	0.0516507695944893	9
F2RL3	2.3749612387846	        0.000122683222566047	0.0676649090461152	9
HCRTR1	1.98859653113952	0.000135241850478488	0.0716078549913499	9
RNH1	-1.02026317178401	0.000144843819942279	0.0737422170990747	9
RPS27L	1.19293377107961	0.000175385431900948	0.0792059220496422	9
CNBP	1.00190688773285	0.000183122281072634	0.0792059220496422	9
BCL2L10	1.66009887748759	0.000184868985858116	0.0792059220496422	9
NR1H4	2.04351924572235	0.000190806424811135	0.0792059220496422	9
ATP5E	1.12087335648583	0.000201797929564392	0.0792059220496422	9
MGLL	-1.22037289922631	0.00020397684672359	0.0792059220496422	9
ERH	1.03595658776495	0.000204522157195643	0.0792059220496422	9
GTF2F2	1.45032060240557	0.000209687950634079	0.0792059220496422	9
LAS1L	1.62227848576676	0.00021010826202295	0.0792059220496422	9
NDC80	2.28744664853141	0.000219111194421105	0.0792059220496422	9
MRFAP1L1	1.28381814567789	0.000233127380064898	0.0792059220496422	9
CCNJ	1.07797220110444	0.000245901611356106	0.0792059220496422	9
EPB41L2	1.3415614551749	0.000246096507373067	0.0792059220496422	9
NDUFA13	1.62093246312262	0.00024726733128192	0.0792059220496422	9
EIF6	1.10394908794976	0.000252860899055374	0.0792059220496422	9
MYBPH	-1.4878741680036	0.000254434418906287	0.0792059220496422	9
SLC6A9	-1.69947283887572	0.000257298077217996	0.0792059220496422	9
COX7B	1.20257503241165	0.000272398081438052	0.0796916736991328	9
SYT2	-1.59408521751487	0.000279987864642757	0.0796916736991328	9
KIF20B	2.28305106059253	0.000280927521690363	0.0796916736991328	9
KCNG2	-1.74572653879264	0.000282957517855952	0.0796916736991328	9
FOXO1	0.991891600183867	0.000317815680481995	0.0876442950529202	9
SHFM1	1.18246207584185	0.000343820265428954	0.0928805888465932	9
MYCBP2	1.16872826250557	0.000371541141660432	0.0983618018431827	9
PWP1	0.950869701354211	0.00038169527835647	0.0990686352863646	9
ECI1	-1.30127497474657	0.000404993135522458	0.0999492287468952	9
SNRPE	0.85494094180065	0.0004072140529333	0.0999492287468952	9
ATP6V0A2	-0.970545256067897	0.000421880709070827	0.0999492287468952	9
PTMS	-1.12282181432099	0.000425626848630915	0.0999492287468952	9
CFDP1	0.937248351818464	0.000426362996036245	0.0999492287468952	9
USP39	-0.970385865320846	0.000437931471462945	0.0999492287468952	9
NDUFA5	1.28011684177656	0.00043794328528518	0.0999492287468952	9
NDUFA7	1.1939132946455	0.00045380196369271	0.101454991337405	9
UBIAD1	-1.15231563707582	0.000471083196427938	0.101454991337405	9
SCN2B	2.17435888991456	0.000477381387488544	0.101454991337405	9
PDLIM7	-1.0765279296264	0.000479079190298384	0.101454991337405	9
ASCC1	-1.17042004760829	0.000485795853244002	0.101454991337405	9
PDCL3	0.827904389764485	0.000502608212939701	0.101454991337405	9
KCNN4	2.11674031100677	0.000517310160773801	0.101454991337405	9
ADAM28	1.80410999528997	0.00053312704593107	0.101454991337405	9
EFNB3	1.59988586668376	0.000537619689946314	0.101454991337405	9
ZNF230	2.03339264325973	0.000546621670270353	0.101454991337405	9
KLHDC3	-1.10168807532256	0.000551344783543254	0.101454991337405	9
ZNF217	1.15540111186481	0.000556095688602402	0.101454991337405	9
DAD1	1.04608118173133	0.000556486399780206	0.101454991337405	9
DES	-1.66527315946933	0.000558378246518219	0.101454991337405	9
CASP6	1.24802017983367	0.000583393145160412	0.101454991337405	9
HSPE1	0.946417271219504	0.000583418287257388	0.101454991337405	9
SLC3A2	-1.92190918092847	0.00058629508103107	0.101454991337405	9
ADAMTS2	-1.12782497721679	0.000588279959456656	0.101454991337405	9
MRPS31	1.34631238797335	0.000594808592943777	0.101454991337405	9
LCN2	1.17781868703324	0.000597831028504764	0.101454991337405	9
RBM42	-0.905750531649776	0.000630051587609249	0.104140003486689	9
LGALS4	-1.4459804677876	0.000632227153774288	0.104140003486689	9
FAM46C	-1.46904520353026	0.000637254686290083	0.104140003486689	9
ABHD4	-0.839348415206705	0.000684009353524107	0.110417461129251	9
COX6C	0.899411048080318	0.000696968733899192	0.110533655840148	9
TAF1B	1.09246086365774	0.000713317198546269	0.110533655840148	9
HMGB1P4	1.10631736417253	0.000716158641165837	0.110533655840148	9
TNFSF10	2.60729737566538	0.000719130968538758	0.110533655840148	9
EEF1E1	1.04327717162902	0.000726480929069491	0.110533655840148	9
VASP	-1.12520576137956	0.000751557766088613	0.112925727020741	9
TRMT1L	1.10823744350694	0.00075993422084612	0.112925727020741	9
