"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"6563",31.3263235357073,-0.83439799794767,0.17886230619071,-4.66502985295292,3.08572237558895e-06,0.0335614583981042,"SLC14A1"
"5655",50.9205764494989,-1.65160713738881,0.359867107354132,-4.58949179749157,4.44326457168194e-06,0.0335614583981042,"KLK10"
"100132708",36.4754922922191,-1.8862689548881,0.409311475103743,-4.60839499896751,4.05789210863869e-06,0.0335614583981042,"CYP4F30P"
"100507360",21.79975660791,0.76845720905347,0.1987871491607,3.86572880741023,0.000110757956462542,0.358539327634458,NA
"653781",56.4257876643558,-0.726520319510445,0.18528225852372,-3.92115427186158,8.81258184295332e-05,0.358539327634458,"POTEJ"
"9723",60.6664876352698,-1.08859906795699,0.278360625000731,-3.91075091153476,9.20096224097878e-05,0.358539327634458,"SEMA3E"
"5649",124.073665157611,-1.08984304123496,0.280210203606846,-3.88937671507525,0.000100502008087663,0.358539327634458,"RELN"
"57381",237.216645011439,-0.419823827162901,0.110085552553971,-3.81361420661513,0.000136949195252425,0.387908595552493,"RHOJ"
"260425",1194.95630483171,0.32750884462485,0.0890829265466776,3.67644909435302,0.000236503022784535,0.487196226936141,"MAGI3"
"1241",327.960876307147,0.421809658754686,0.114539556948216,3.68265488354726,0.000230817544669022,0.487196226936141,"LTB4R"
"482",172.776406757052,-0.465159234763453,0.125033792289475,-3.72026814708242,0.000199011367640803,0.487196226936141,"ATP1B2"
"283537",147.378999925927,-0.636417279988488,0.174213638214518,-3.65308529522147,0.00025910811297523,0.489282486668225,"SLC46A3"
"724030",1.56584522865548,3.45418251894035,0.951418543155428,3.63056043398564,0.000282806474278873,0.492953439012251,"MIR660"
"5733",166.139310905845,-0.874970712491951,0.243755299654843,-3.58954539134496,0.000331255148827692,0.514673010661366,"PTGER3"
"79780",572.794172661358,-0.291657004365316,0.0814180523425941,-3.58221544207506,0.00034069263724274,0.514673010661366,"CCDC82"
"7103",302.718652516935,-1.37830251172379,0.392220803159738,-3.51409843797208,0.000441249262723386,0.624919268331996,"TSPAN8"
"656",201.796718277529,0.483197777552921,0.142051612433172,3.40156489093173,0.000670012197252977,0.682869283473565,"BMP8B"
"22891",10.2097134520472,-1.40437827701804,0.414789875615352,-3.38575833109379,0.00070981864391127,0.682869283473565,"ZNF365"
"121601",243.672724386603,-0.981796223039941,0.289740254912725,-3.38853923951877,0.000702659742751097,0.682869283473565,"ANO4"
"655",67.1832768151754,-1.89626013870727,0.560583003829258,-3.38265720821751,0.000717881769446098,0.682869283473565,"BMP7"
"8372",90.3260045632439,0.580710314850837,0.17234116224313,3.36953927484603,0.000752939602262812,0.682869283473565,"HYAL3"
"9407",33.1689108356158,-1.20110356074722,0.356476575084531,-3.36937584317401,0.000753386235076749,0.682869283473565,"TMPRSS11D"
"221303",108.31094881943,-0.781267870781876,0.229267201298357,-3.40767395579262,0.000655191311312511,0.682869283473565,"FAM162B"
