gene	log2FC	p	padj	n
ENSG00000160072	-0.112257578526631	0.625477170966855	0.90941241287442	20
ENSG00000157911	-0.0414523323563997	0.897981543930114	0.985152569818906	20
ENSG00000142655	0.0165287797324142	0.936512645150907	0.991736067993933	20
ENSG00000171621	0.197460173765222	0.520138237060548	0.871298041797241	20
ENSG00000116786	-0.356455705326	0.048008424673019	0.400605673495742	20
ENSG00000173614	0.00896392699641295	0.948330433917901	0.992862684383721	20
ENSG00000279457	-0.302902175479074	0.240392657856724	0.695360300494055	20
ENSG00000037637	0.182774839775358	0.219977926191341	0.678347800531403	20
ENSG00000159423	0.435702337271258	0.0488895662395905	0.401810054887368	20
ENSG00000011021	0.0772464664352623	0.746698377773203	0.950405956790732	20
ENSG00000157916	-0.146186604590323	0.257624082995708	0.708918306062827	20
ENSG00000157881	0.0988676338376156	0.674629214524159	0.926700501313105	20
ENSG00000048707	-0.0381381869517915	0.849125926703916	0.976027736804756	20
ENSG00000162444	-0.737616806408552	0.15623938910267	0.601013706646717	20
ENSG00000180758	0.0947111841280154	0.758034752292666	0.953871905646287	20
ENSG00000184677	0.189774900114858	0.267208113260464	0.715373234704374	20
ENSG00000288398	-0.231062263822435	0.290625324665909	0.738876879246812	20
ENSG00000131697	0.645636497033776	0.0266064652369811	0.315468925593723	20
ENSG00000055070	-0.0909778864151931	0.488063524266805	0.857885982499162	20
ENSG00000157191	-0.0220270233082602	0.818736860932481	0.968626890234248	20
ENSG00000204138	0.126114739785669	0.292126273285854	0.740241012546327	20
ENSG00000130772	-0.098905588466419	0.588880648569502	0.899094226150577	20
ENSG00000090020	0.00469107487603054	0.974778657675906	0.996332127934807	20
ENSG00000157978	-0.0746497108467361	0.7831728057146	0.958461010732704	20
ENSG00000130770	-0.149569154512455	0.298359017694335	0.744670199538167	20
ENSG00000162512	0.332132153428171	0.161341352798275	0.608769858922205	20
ENSG00000158006	0.0294285620762473	0.843693850227317	0.97531295565729	20
ENSG00000126698	-0.0884640597223498	0.425076132659358	0.826197388234459	20
ENSG00000130766	-0.376836354909054	0.174476510241708	0.619540002315874	20
ENSG00000168528	-1.12150678114211	0.00649017699845085	0.197322066844684	20
ENSG00000060688	-0.0039673234961037	0.978390351493072	0.996911107120559	20
ENSG00000116138	-0.110818578308544	0.506308380809573	0.866076650711868	20
ENSG00000158161	0.149002138577047	0.361138139847896	0.788732766904013	20
ENSG00000121769	0.439659627497667	0.446647920201776	0.837310086664378	20
ENSG00000142627	0.123245673190107	0.509691505063653	0.86737972800701	20
ENSG00000142632	-0.191392795840551	0.442628287272825	0.836238308237329	20
ENSG00000189337	0.151139766313742	0.284490017675503	0.733586296400261	20
ENSG00000028137	-0.497872615251699	0.070018851788832	0.454465626870007	20
ENSG00000130939	0.0683641550337173	0.643639796736301	0.915843613685642	20
ENSG00000060656	0.301034050840108	0.236273772222747	0.69245348495184	20
ENSG00000163867	0.137891763287352	0.624087139473311	0.908996600308678	20
ENSG00000134698	0.212055983767622	0.398594510715205	0.811724923299967	20
ENSG00000134690	0.0820319843976438	0.765473656704844	0.955295881859349	20
ENSG00000158008	0.506548009903108	0.197727604199417	0.649579500750377	20
ENSG00000163879	-0.401115500382996	0.117833090841247	0.548017187721527	20
ENSG00000116954	-0.14178402456335	0.575949942280281	0.892798316169342	20
