gene	log2FC	p	padj	n
ENSG00000117143	0.808925218032242	8.30268600024394e-05	0.0406690343313021	20
ENSG00000231672	1.43469669748665	7.24772859275853e-07	0.00426202679897165	20
ENSG00000150556	4.28944055920755	7.65186704231441e-08	0.000899936082846598	20
ENSG00000187123	1.44597508841922	8.64489293667676e-05	0.0406690343313021	20
ENSG00000135931	-0.650742269302622	2.66272084493281e-05	0.0208775065715032	20
ENSG00000115461	2.79612119214461	1.58355258667283e-05	0.020241435392967	20
ENSG00000130294	-2.31371485540184	6.05838444476751e-05	0.0339298378356717	20
ENSG00000163872	0.654090688780168	7.39187194175097e-05	0.0395162754122423	20
ENSG00000175105	0.68695752837518	1.72106414360743e-05	0.020241435392967	20
ENSG00000113838	0.599502532952391	0.00011543975962975	0.0481068970721875	20
ENSG00000038427	0.990592268559177	4.92907054119755e-06	0.0105629830746424	20
ENSG00000178776	3.43336269751934	3.90382795531375e-06	0.0105629830746424	20
ENSG00000134516	1.18888889752551	5.00013447663921e-05	0.0326703230998632	20
ENSG00000112144	0.676820772724893	8.05358717347414e-05	0.0406690343313021	20
ENSG00000118503	1.645390232213	2.17912693294419e-05	0.0208775065715032	20
ENSG00000260604	2.64741025598947	0.000118620866856002	0.0481068970721875	20
ENSG00000105976	0.94333140967585	1.62969226821557e-06	0.0063889369221611	20
ENSG00000105889	1.50815371902137	3.73612915522232e-05	0.027462884371606	20
ENSG00000124343	2.68519121205845	6.67188230974806e-06	0.011209715406421	20
ENSG00000135048	0.95869869319905	5.56628263370544e-05	0.0328406198037851	20
ENSG00000136859	-1.0297248024238	2.51245609181757e-05	0.0208775065715032	20
ENSG00000170962	-1.51184531338396	0.000111600564532874	0.0481068970721875	20
ENSG00000095637	1.6620051716584	5.3888188460041e-06	0.0105629830746424	20
ENSG00000139116	-0.796458882414668	1.14112875425017e-05	0.0167760190984204	20
ENSG00000072657	2.10812475796294	4.61113222174177e-05	0.0319008976822971	20
ENSG00000133110	3.61675497253221	5.58466453597229e-05	0.0328406198037851	20
ENSG00000173546	1.27999448251713	0.000109247333693475	0.0481068970721875	20
ENSG00000130513	-1.76796877801824	2.35529788620277e-05	0.0208775065715032	20
ENSG00000142197	1.51773135384378	2.66015869645494e-05	0.0208775065715032	20
