gene	log2FC	p	padj	n
ZBTB5	-0.678911059246571	2.85667577229148e-11	6.53607416700291e-07	148
ADAT1	-1.30652729594019	1.61289269558978e-10	1.16318175772211e-06	148
CASP3	-0.582195218624841	1.61603739670966e-10	1.16318175772211e-06	148
ABHD17B	-0.701221357780502	2.03353454147221e-10	1.16318175772211e-06	148
UXS1	-0.977479954571977	2.7169683057315e-10	1.16566931892247e-06	148
FBXO45	-1.12764937451436	3.1125513222573e-10	1.16566931892247e-06	148
MED28	-0.75755599650997	3.56629599320687e-10	1.16566931892247e-06	148
LOC100506870	0.48259351193159	4.6332599355817e-10	1.23190694217419e-06	148
PANX1	-1.09433562855113	4.84578779701387e-10	1.23190694217419e-06	148
AFG3L2	-0.67871580692848	7.38512843890616e-10	1.68971738682173e-06	148
LOX	-1.52285043764935	1.06205755800748e-09	2.20907972065557e-06	148
DLST	-0.514077412086337	1.22260639993763e-09	2.33110286921442e-06	148
ZBTB33	-0.682069871594476	1.62094365368079e-09	2.85286083047819e-06	148
PPP3R1	-1.12611970272563	3.63158659941623e-09	5.62037020219644e-06	148
DHX8	-0.514227905425279	3.78801903798627e-09	5.62037020219644e-06	148
IGH	0.624913302693982	3.93032881272478e-09	5.62037020219644e-06	148
CLSTN2	-1.15175039368045	4.22637630598281e-09	5.68820528711098e-06	148
SPTLC2	-0.774397479958112	4.62192018308024e-09	5.87497409938199e-06	148
XPO5	-0.678596836648802	5.04016966141157e-09	6.0694253606893e-06	148
DDX19A	-0.580631347196452	5.7018854688764e-09	6.3065483065041e-06	148
SLC31A1	-0.808183418698007	5.78835290369694e-09	6.3065483065041e-06	148
IL13	0.46519335799378	6.2886825632268e-09	6.48534387024089e-06	148
SMARCC1	-0.501693495436436	6.55659134950239e-09	6.48534387024089e-06	148
PCDHA1	-0.867139299092922	6.88253454149192e-09	6.48534387024089e-06	148
ARHGAP30	0.924128957342419	7.08625859947649e-09	6.48534387024089e-06	148
SUSD1	-0.679300409937627	8.24553275958384e-09	6.90772179593623e-06	148
YARS	-0.488548845031462	8.28196485547736e-09	6.90772179593623e-06	148
STX6	-0.998414058783978	8.45350569432756e-09	6.90772179593623e-06	148
SHROOM2	-0.753323747421256	1.0654823636884e-08	8.0636359999649e-06	148
USP10	-0.698140574029267	1.08312443947003e-08	8.0636359999649e-06	148
HAB1	0.794361448107921	1.09253809440084e-08	8.0636359999649e-06	148
WAC-AS1	-0.797302317667277	1.20820749862106e-08	8.34320823981305e-06	148
ZNF207	-0.489106184412474	1.26085350539053e-08	8.34320823981305e-06	148
SHQ1	-0.621778461615328	1.27347622731691e-08	8.34320823981305e-06	148
CWC27	-0.966681164562285	1.32595322344031e-08	8.34320823981305e-06	148
ELOVL6	-1.19521425539766	1.33767292829952e-08	8.34320823981305e-06	148
BIRC7	0.541452403326505	1.36977122033886e-08	8.34320823981305e-06	148
COPG2	-1.24380935979678	1.38567269717175e-08	8.34320823981305e-06	148
C7orf60	-0.851850385077739	1.49230617944994e-08	8.66662449941003e-06	148
TTC30B	-0.988300639000366	1.5151441432535e-08	8.66662449941003e-06	148
COPS8	-0.585446921337479	1.62109867303719e-08	9.046521375388e-06	148
PPM1D	-0.746024142344064	1.86444125337545e-08	1.01567656850548e-05	148
ZNF462	-1.06357143108359	1.91500031462186e-08	1.01895830694298e-05	148
PDSS2	-0.833864624301994	2.17981857327214e-08	1.13350565810151e-05	148
FEM1C	-0.988580467055607	2.37743315918583e-08	1.20879268182604e-05	148
ASB8	-0.541348615730382	2.44249303128357e-08	1.21487479469061e-05	148
C7orf25	-0.810341603900677	2.57591710819375e-08	1.23268727406406e-05	148
FBXL17	-0.730458859359795	2.5860572183162e-08	1.23268727406406e-05	148
NXT2	-0.705469296631242	2.76664497810364e-08	1.25277551371607e-05	148
LINC00957	0.893140670617159	2.83691806287467e-08	1.25277551371607e-05	148
HDGFRP3	-0.710780123357967	2.84532403351121e-08	1.25277551371607e-05	148
BBS9	-0.662948778665082	2.86548913252293e-08	1.25277551371607e-05	148
ELAVL3	0.836542354335834	2.98464065204247e-08	1.25277551371607e-05	148
TIAM2	-1.13653510323029	3.02139578201353e-08	1.25277551371607e-05	148
RBBP5	-1.08248586563801	3.10162669971346e-08	1.25277551371607e-05	148
ZBTB2	-0.730395596281691	3.11245553697116e-08	1.25277551371607e-05	148
PET117	-0.851072956760931	3.16416616145671e-08	1.25277551371607e-05	148
PIGW	-0.596693767578562	3.21069626173609e-08	1.25277551371607e-05	148
LZIC	-0.981042643576733	3.36568821666339e-08	1.25277551371607e-05	148
KARS	-0.587092447004391	3.39430063552838e-08	1.25277551371607e-05	148
LINC00926	0.539573152402781	3.45159792387786e-08	1.25277551371607e-05	148
LOC100507630	0.496317264198829	3.45162879447963e-08	1.25277551371607e-05	148
CSNK2A1	-0.339987063853302	3.49556087946231e-08	1.25277551371607e-05	148
HAUS6	-0.95304138104262	3.50426717123375e-08	1.25277551371607e-05	148
SLC7A6OS	-0.452190310522957	3.61884539811155e-08	1.27018102298326e-05	148
ERN2	0.523378760373148	3.72607260896909e-08	1.27018102298326e-05	148
NANP	-0.812704418709896	3.74348133004734e-08	1.27018102298326e-05	148
TMEM17	-1.24442508663636	3.77501352984535e-08	1.27018102298326e-05	148
FBXO44	0.541460472124933	3.96437884482308e-08	1.31456504303699e-05	148
TMEM178B	0.544391693719774	4.24426545176996e-08	1.36066535156041e-05	148
GBE1	-0.629145670623378	4.26901737995695e-08	1.36066535156041e-05	148
NOL10	-0.739636992697641	4.32900754076913e-08	1.36066535156041e-05	148
HNRNPLL	-0.628076084279861	4.34128368286319e-08	1.36066535156041e-05	148
GFM1	-0.636669583531737	4.40395256000423e-08	1.36165452125536e-05	148
MAGI1	-1.01171292003494	4.66557310450177e-08	1.42331083508001e-05	148
FARP2	-0.614924584458021	4.89594038213879e-08	1.47393573609652e-05	148
ZNF45	-0.929234493059814	5.14485333199433e-08	1.5100234919045e-05	148
MYLIP	-0.571127694978234	5.19238119883056e-08	1.5100234919045e-05	148
CLN5	-0.71781773383867	5.21380488900593e-08	1.5100234919045e-05	148
LOC100506248	-0.482571000819463	5.35539069175555e-08	1.51771855278628e-05	148
LOC102725022	0.632380257579112	5.37304207935701e-08	1.51771855278628e-05	148
KRR1	-0.800472760524968	5.63544607941303e-08	1.54495755048469e-05	148
BICD2	-0.803620804395463	5.63999745430046e-08	1.54495755048469e-05	148
PNMA2	-1.21145915881727	5.7041523946318e-08	1.54495755048469e-05	148
HSD17B12	-0.607397774078838	5.77145178073882e-08	1.54495755048469e-05	148
NPEPL1	0.54638617016115	5.80709568801063e-08	1.54495755048469e-05	148
MBTPS2	-0.627261508968173	5.89339931941186e-08	1.54989628078326e-05	148
FAM210B	-0.798996356141396	6.03967860081677e-08	1.56879929384312e-05	148
MIPEP	-0.878093372931225	6.19113813727376e-08	1.56879929384312e-05	148
CCNA1	-1.5268252034743	6.2619652950565e-08	1.56879929384312e-05	148
RRP15	-0.80645440763856	6.26448245667928e-08	1.56879929384312e-05	148
SMAD2	-0.652885429389977	6.33918112709207e-08	1.56879929384312e-05	148
EML1	-1.06072024515859	6.37667545137281e-08	1.56879929384312e-05	148
METTL2A	-0.679261638753796	6.57765354465477e-08	1.59351690000185e-05	148
MAPK9	-0.679266342979147	6.64214565561198e-08	1.59351690000185e-05	148
MSANTD4	-0.916778985748309	6.75537509454723e-08	1.59351690000185e-05	148
PLEKHA8	-0.977862688935796	6.83897402409196e-08	1.59351690000185e-05	148
TTC30A	-0.919188007323395	6.90924785525404e-08	1.59351690000185e-05	148
TMF1	-0.691905601975856	6.99445578651512e-08	1.59351690000185e-05	148
PLAA	-0.84174958834315	7.02632204115779e-08	1.59351690000185e-05	148
CASR	0.449281946481252	7.03431848339976e-08	1.59351690000185e-05	148
STXBP4	-0.793341523107189	7.12505930793661e-08	1.59824859770186e-05	148
ISY1	-0.38320773326029	7.20106255224637e-08	1.59961467179997e-05	148
RNASEH1	-0.677156683818182	7.37801592633486e-08	1.62316350379367e-05	148
GDE1	-0.64218750740022	7.50926258437647e-08	1.63630407552889e-05	148
ATAD3C	0.435423252305836	7.81952422542798e-08	1.67296342605337e-05	148
ALDH9A1	-0.569352286806841	7.86798069960308e-08	1.67296342605337e-05	148
R3HDM1	-0.642513002199927	7.8968553327694e-08	1.67296342605337e-05	148
TXNDC9	-0.580182340584234	8.27049841488485e-08	1.7213053802661e-05	148
PGGT1B	-0.839275499751419	8.31227855151344e-08	1.7213053802661e-05	148
PAXIP1	-0.869355862304921	8.4765767441073e-08	1.7213053802661e-05	148
ZFP1	-0.887567764707519	8.47827794055895e-08	1.7213053802661e-05	148
FUT7	0.710345498929761	8.50120227141909e-08	1.7213053802661e-05	148
GGA2	-0.453141379800805	8.82469205233451e-08	1.75332054602646e-05	148
TMEM151B	0.544329406732211	8.92800382272755e-08	1.75332054602646e-05	148
TOR1AIP2	-0.380131551066032	9.04431838651774e-08	1.75332054602646e-05	148
SART3	-0.317660175396196	9.06716280742251e-08	1.75332054602646e-05	148
CLP1	-0.538521930496617	9.10155515786995e-08	1.75332054602646e-05	148
HS2ST1	-0.653746077531005	9.11910598676351e-08	1.75332054602646e-05	148
USP46	-1.04295492522023	9.25810616407889e-08	1.76024388154862e-05	148
SSRP1	-0.597303366408817	9.31543247570026e-08	1.76024388154862e-05	148
BRAP	-0.753882931874338	9.38591580196378e-08	1.76024388154862e-05	148
ZNF184	-0.850196395232304	9.64800277259189e-08	1.78345670448222e-05	148
SAV1	-0.971851437124565	9.66558703478128e-08	1.78345670448222e-05	148
COL26A1	0.750068920672212	1.00265392706974e-07	1.83525774810845e-05	148
AREL1	-1.01327055264368	1.03531977812896e-07	1.87863154742703e-05	148
PTCD2	-0.899728819597769	1.04277188165748e-07	1.87863154742703e-05	148
RLF	-0.968535196270167	1.05285449942568e-07	1.88167188082812e-05	148
BAZ2A	0.323558131661606	1.07283225169751e-07	1.88167188082812e-05	148
UTP20	-1.06909934010152	1.0746024538935e-07	1.88167188082812e-05	148
ARMC10	-0.829688625291201	1.0842539814267e-07	1.88167188082812e-05	148
ITGB7	0.785648115009694	1.08557993124699e-07	1.88167188082812e-05	148
LOC100507477	1.12303113924127	1.11627732314571e-07	1.91842622317402e-05	148
PTPRO	0.970717959412842	1.12948244272239e-07	1.91842622317402e-05	148
DNAH14	-0.642464610582038	1.13193854951264e-07	1.91842622317402e-05	148
HMGXB4	-0.582831658726358	1.1759936179394e-07	1.9784363219451e-05	148
RNF41	-0.591488805130237	1.20262213652518e-07	2.00846675063475e-05	148
PRKAR2A	-0.573720440512529	1.21187948703464e-07	2.00926106256178e-05	148
NRDE2	-0.685824961197001	1.2311448851163e-07	2.02651762384611e-05	148
LRRC57	-0.674331836872874	1.29234354011104e-07	2.11205858555291e-05	148
SSX2IP	-1.28550104933638	1.31053461504034e-07	2.12659801362574e-05	148
SEH1L	-0.623448277104994	1.36419836444249e-07	2.18385128266498e-05	148
C3orf38	-0.875211928588624	1.36490705166561e-07	2.18385128266498e-05	148
PTGFRN	-0.613072352872324	1.40377974889885e-07	2.21512987979534e-05	148
SDC2	-0.869501204437901	1.4128614547162e-07	2.21512987979534e-05	148
GIT2	-0.492921881937809	1.41837918611641e-07	2.21512987979534e-05	148
PTPN1	-0.514272996280776	1.43199711921725e-07	2.21512987979534e-05	148
RPRD1B	-0.607911911372599	1.43286373343405e-07	2.21512987979534e-05	148
UPRT	-0.819710838901774	1.44501482120769e-07	2.21846704900681e-05	148
MTAP	-0.553709434228097	1.45441458632439e-07	2.21846704900681e-05	148
LIN52	-0.957766613628316	1.50489999876075e-07	2.24647372116563e-05	148
TRIM24	-1.09937146416078	1.50553615019376e-07	2.24647372116563e-05	148
RNF169	-0.604856079390342	1.51451798900523e-07	2.24647372116563e-05	148
RFWD3	-0.725272665611672	1.54883011913479e-07	2.24647372116563e-05	148
RP11-226L15.5	-0.665652288411926	1.55087125306076e-07	2.24647372116563e-05	148
TRNT1	-0.965493075186391	1.56236036736393e-07	2.24647372116563e-05	148
LOC101930026	0.594299394448144	1.5705106101397e-07	2.24647372116563e-05	148
CAND1	-0.699420558113956	1.57116229451002e-07	2.24647372116563e-05	148
LOC254896	0.549246536364368	1.57294937143178e-07	2.24647372116563e-05	148
RSRC1	-0.852710941337296	1.57424662141314e-07	2.24647372116563e-05	148
MUC6	0.642895633850558	1.58077914819784e-07	2.24647372116563e-05	148
FAM210A	-0.708761578293763	1.6123534387557e-07	2.27720041226731e-05	148
CRY1	-0.805594201907445	1.62486472466384e-07	2.28079171167538e-05	148
CEP76	-1.04992511204463	1.63821113394035e-07	2.28550431369238e-05	148
BPGM	-1.03295809741357	1.65718771818861e-07	2.29796696922154e-05	148
C16orf72	-0.565028609079203	1.68319866430461e-07	2.31997502646322e-05	148
CCDC43	-0.632119241736236	1.7645057004295e-07	2.40834675786532e-05	148
FBXO33	-0.814444883591184	1.76836650053048e-07	2.40834675786532e-05	148
INVS	-0.820343956423449	1.81628409246441e-07	2.42367877680101e-05	148
ZNF260	-0.833135476546553	1.82209107799393e-07	2.42367877680101e-05	148
KLHL8	-0.942930384790745	1.82672636704848e-07	2.42367877680101e-05	148
TAF5	-0.92185568724529	1.83164175013641e-07	2.42367877680101e-05	148
NT5C1B-RDH14	-0.539187732750504	1.83409206703806e-07	2.42367877680101e-05	148
CHCHD3	-0.579871494566125	1.85199581778018e-07	2.42367877680101e-05	148
GCC1	-0.773583915618804	1.86308643454432e-07	2.42367877680101e-05	148
BZW2	-0.59566637465923	1.86436828984693e-07	2.42367877680101e-05	148
NRG1	0.623119542299983	1.89846979475676e-07	2.43272813572081e-05	148
ASPH	-0.749809692068046	1.90760130821179e-07	2.43272813572081e-05	148
LOC102724364	-0.68506879397366	1.90837422913265e-07	2.43272813572081e-05	148
DCP2	-0.740409388680264	1.92220470250664e-07	2.43272813572081e-05	148
C12orf5	-0.890285775916408	1.92642518814809e-07	2.43272813572081e-05	148
GJA9-MYCBP	-0.697458501455277	1.93512465341428e-07	2.43272813572081e-05	148
ZAK	-1.02553149956174	1.95058834188303e-07	2.43876837498819e-05	148
AMN	0.69980431200439	1.97725645592452e-07	2.4546677095077e-05	148
DBET	0.434129029976953	1.98476191546733e-07	2.4546677095077e-05	148
TANC2	-0.899351987703312	1.99987087486473e-07	2.46005621596264e-05	148
ZNF281	-0.579750822550759	2.03400035636513e-07	2.46807453103151e-05	148
ITGB2-AS1	0.527614115398391	2.03647999498047e-07	2.46807453103151e-05	148
NAA35	-0.904503899650083	2.03875037746921e-07	2.46807453103151e-05	148
THAP10	-0.804546806885677	2.05666441015738e-07	2.47665693181057e-05	148
C3orf58	-0.647629733938724	2.07411470793962e-07	2.48459395380411e-05	148
ZNF398	-0.928549482373515	2.1586945891754e-07	2.57244438543402e-05	148
MOSPD1	-1.09678602841449	2.19931828798415e-07	2.6072747372579e-05	148
CEP19	-0.860974017563747	2.36036207778705e-07	2.76147660599859e-05	148
FEM1B	-0.821945587716481	2.37042423403208e-07	2.76147660599859e-05	148
IFNAR1	-0.765568739487105	2.37614688178102e-07	2.76147660599859e-05	148
ABCB7	-0.782675225661789	2.39137790584377e-07	2.76147660599859e-05	148
C9orf172	0.472692940218768	2.40773336403439e-07	2.76147660599859e-05	148
MCPH1	-0.658678543090544	2.41042261158247e-07	2.76147660599859e-05	148
LOC100287166	0.500449417921347	2.41387815209667e-07	2.76147660599859e-05	148
FBXO25	-0.409235379085238	2.43715615342255e-07	2.77423546220438e-05	148
TEX9	-1.03663100102835	2.50517700720106e-07	2.82509524263411e-05	148
RELL1	-0.627168770327053	2.50653118118323e-07	2.82509524263411e-05	148
CYFIP1	-0.375146600174319	2.57717303417762e-07	2.87792108219454e-05	148
IL34	0.638467321369674	2.57855691367955e-07	2.87792108219454e-05	148
HARS2	-0.694272566342967	2.59773512355984e-07	2.8810116728637e-05	148
ACO1	-0.786167815736053	2.61909430784545e-07	2.8810116728637e-05	148
NCR2	0.377573321139017	2.61949144842897e-07	2.8810116728637e-05	148
DNAJC8	-0.394725052783428	2.63169335501973e-07	2.8810116728637e-05	148
SPAST	-0.749658469086703	2.67280719496419e-07	2.91208707718003e-05	148
ZNF625	-0.638163895526065	2.72124926686984e-07	2.95081437089962e-05	148
TMX4	-0.713528881881472	2.7567686420271e-07	2.97522955328207e-05	148
ZNF670	-0.830634347133529	2.79494253054028e-07	3.00226690604514e-05	148
E2F3	-0.924372926605817	2.8442184197787e-07	3.03334489620768e-05	148
TAF1B	-0.84971584852753	2.850389653342e-07	3.03334489620768e-05	148
SUV39H2	-0.856039720264679	2.87569391511996e-07	3.03957187988397e-05	148
ZNF709	-0.935539167028169	2.88281074272212e-07	3.03957187988397e-05	148
SCAF8	-0.621435497597585	2.96656367197615e-07	3.11353104655112e-05	148
NKAP	-0.940633953593928	2.98654321073307e-07	3.12018761011747e-05	148
LILRA4	0.679985754064387	3.01197808822557e-07	3.13245721175459e-05	148
EXT2	-0.61590050039455	3.03022433745339e-07	3.13717343171645e-05	148
KDM5B	-0.740068988588807	3.07364079220557e-07	3.15564074257298e-05	148
SENP2	-0.808976631374611	3.07564635311964e-07	3.15564074257298e-05	148
HIRA	-0.449020645845071	3.0965964811903e-07	3.16295212007295e-05	148
NUP62CL	-0.979092540389611	3.13639823337128e-07	3.18471990864756e-05	148
HMCN2	0.40457332285257	3.14574606361166e-07	3.18471990864756e-05	148
ZCCHC10	-0.658702234590635	3.16614406549524e-07	3.19125005367978e-05	148
CPSF3	-0.756604345067679	3.20765030065814e-07	3.21890521399378e-05	148
TULP3	-0.509267227088532	3.26349284487154e-07	3.26064263277995e-05	148
SMG8	-0.698906457865557	3.30377139870091e-07	3.28653433053377e-05	148
PRODH2	0.421096295308944	3.34322989109148e-07	3.31138960641441e-05	148
LOC100130370	0.475183434485457	3.41043052614384e-07	3.3601972229421e-05	148
RAP1GDS1	-0.87140344206146	3.45199719216701e-07	3.3601972229421e-05	148
CTDSPL2	-0.587264788802085	3.46251319005129e-07	3.3601972229421e-05	148
YIPF5	-0.847622519913846	3.46657831995189e-07	3.3601972229421e-05	148
COMMD2	-0.769257397685202	3.5013198441771e-07	3.3601972229421e-05	148
PAPOLG	-0.951217603360527	3.50299331880391e-07	3.3601972229421e-05	148
CASC14	0.597459221841961	3.50856272788455e-07	3.3601972229421e-05	148
HCG11	-0.805482303930311	3.50999622501382e-07	3.3601972229421e-05	148
UBQLN2	-0.468213267712273	3.53056136085517e-07	3.36580183068193e-05	148
TBC1D9	-0.731387303023414	3.57926946796515e-07	3.39807823348725e-05	148
TLK2	-0.725088588936527	3.63864260520284e-07	3.42675582415869e-05	148
RWDD2B	-0.653154680790013	3.6394303552035e-07	3.42675582415869e-05	148
PITHD1	-0.455389668320835	3.68296470127204e-07	3.45106099452916e-05	148
KPNA2	-0.684753768386137	3.69541059291802e-07	3.45106099452916e-05	148
LAMA1	-1.29068770032102	3.72921033059558e-07	3.46846879528565e-05	148
MED20	-0.744040879281874	3.76704640046126e-07	3.48947456042727e-05	148
TRMT12	-0.567721458380282	3.79272283175965e-07	3.49796914921206e-05	148
CDC42BPA	-1.07952068469837	3.80679334857431e-07	3.49796914921206e-05	148
TRIP11	-0.926759220189136	3.97362706538885e-07	3.62562513394943e-05	148
FAM114A2	-0.6815372286638	3.97741218803019e-07	3.62562513394943e-05	148
