gene	log2FC	                         p	               padj	        n
ERGIC1	1.63025294376983	1.95625664901369e-06	0.0614773214519041	8
IL18RAP	1.92342657593376	8.36508903807803e-06	0.0982629448691181	8
MAK	1.88092248209698	1.38664907014667e-05	0.0982629448691181	8
CA4	1.42657186686096	1.74317489820292e-05	0.0982629448691181	8
IL1R2	1.31226711666413	2.44683003618772e-05	0.0982629448691181	8
MANSC1	1.565676697791	       2.92205117292218e-05	0.0982629448691181	8
GLT1D1	1.28630899866697	2.96634889605536e-05	0.0982629448691181	8
CRISPLD2 1.45881503527527	3.15905934590265e-05	0.0982629448691181	8
REPS2	1.54864740228458	3.95212080206177e-05	0.0982629448691181	8
ABHD2	0.993357549282806	3.98541015813402e-05	0.0982629448691181	8
SIGLEC10 1.38264432778266	4.21821937042818e-05	0.0982629448691181	8
FKBP5	1.55515946510687	4.22990891328055e-05	0.0982629448691181	8
NCF1	1.35155382643883	4.33889458497361e-05	0.0982629448691181	8
RCVRN	1.08882738884395	4.44221708668457e-05	0.0982629448691181	8
NAIP	1.32271373711757	4.69020611288987e-05	0.0982629448691181	8
P2RY13	0.905526846105856	6.10118860860664e-05	0.115800536464586	8
SLC2A14	1.55361120733953	6.26426882166983e-05	0.115800536464586	8
LILRA3	1.19248903185994	7.37652687649172e-05	0.116440947443162	8
HEY1	1.82992798936201	7.5875675855409e-05	0.116440947443162	8
MMP9	1.32126773199949	7.95196218995586e-05	0.116440947443162	8
RBP7	1.23102934705941	9.01261901338831e-05	0.116440947443162	8
ANGPT1	1.60685466634969	9.22967726368828e-05	0.116440947443162	8
CCNJL	1.72789347758204	9.44140124377312e-05	0.116440947443162	8
ABCG1	1.11545726322981	9.53791573238748e-05	0.116440947443162	8
EGLN1	1.45817857420197	9.72638346050208e-05	0.116440947443162	8
NFIL3	1.30176652986752	0.000105074238373987	0.116440947443162	8
PVRL2	1.2987762675606 	0.000105313841134613	0.116440947443162	8
FCGR3A	1.68489994303472	0.000107912022148858	0.116440947443162	8
GPR141	1.32733547692677	0.000108417767251129	0.116440947443162	8
KCNJ2	1.44149734749713	0.000111434547768375	0.116440947443162	8
RBMS2	0.979708697642445	0.000117113806549116	0.116440947443162	8
ADM	0.979329295918039	0.000123221369991797	0.116440947443162	8
BST1	1.07546808592365	0.000124569982846552	0.116440947443162	8
IRAK3	1.35804402161869	0.000125978241362805	0.116440947443162	8
LOC100133875 1.49035430063	0.000151303381771184	0.12943705493234	8
C20orf3	1.24369000555686	0.000157340301601531	0.12943705493234	8
ANXA3	2.12452152180318	0.000158997805642808	0.12943705493234	8
IRS2	1.48169144819215	0.000160581363716022	0.12943705493234	8
C19orf59 1.86368325815805	0.000160632760846473	0.12943705493234	8
ROPN1L	1.35887500147285	0.00017225596519513	0.130483958306952	8
ABHD5	1.5528493206038 	0.000176454376130777	0.130483958306952	8
SAMD8	1.11559001112217	0.000179995121553902	0.130483958306952	8
FGD4	1.3997501903417 	0.000181419954028122	0.130483958306952	8
CHST2	0.845731359505152	0.000192182184693004	0.130483958306952	8
TBC1D14	1.09273647768702	0.000194859148131831	0.130483958306952	8
PREX1	1.38985234215337	0.00019548004976603	0.130483958306952	8
TGM3	1.48003676754136	0.000197523875104803	0.130483958306952	8
GSK3B	1.02425644765033	0.000199300897305851	0.130483958306952	8
IGF2R	1.14073689568959	0.000209670533268143	0.134471554662952	8
LBA1	1.03192650722337	0.000216341737301008	0.13597510872843	8
SYN2	1.34215616836332	0.000224096239161889	0.138087223762775	8
MOSC1	1.63681815180725	0.000238674085766352	0.141793691120517	8
LOC440928 0.968882664449436	0.000242945015816062	0.141793691120517	8
CLEC4E	1.44520025627049	0.000243647276793352	0.141793691120517	8
VNN3	1.57439373867763	0.000253852435026307	0.145046665875213	8
IL1F9	1.03310559349365	0.000274796947948618	0.153104850315862	8
MIR1974	1.88017362042266	0.000283753751304839	0.153104850315862	8
HTRA1	0.870510616788655	0.000288933280771204	0.153104850315862	8
MAML3	1.15795844173829	0.000291755966506491	0.153104850315862	8
RAB7A	0.823981736484446	0.000298243082616627	0.153104850315862	8
