"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000115380",1568.22909067551,9.52166810727644,0.262201612729851,36.3143003131972,9.62273394671938e-289,2.44667633329287e-284,"EFEMP1"
"ENSG00000143248",585.347087311317,6.63151111409102,0.250719658494248,26.4499048615415,3.6579485822395e-154,4.65035003260107e-150,"RGS5"
"ENSG00000124212",2603.90131549662,10.9555759919579,0.457128741189379,23.966062522022,6.28437734442122e-127,5.32621927864179e-123,"PTGIS"
"ENSG00000138061",1118.88351712575,9.23866373582493,0.398213514574333,23.2002767301871,4.52402016932143e-119,2.87569342062917e-115,"CYP1B1"
"ENSG00000141448",421.66158653569,7.0257566010138,0.327610924623322,21.4454283204744,5.03803465638615e-102,2.56194138346549e-98,"GATA6"
"ENSG00000154553",1088.96754506177,10.9591375373712,0.528519204204452,20.7355521808661,1.65544230188469e-95,7.01521266128669e-92,"PDLIM3"
"ENSG00000057294",218.860183995497,8.11792482349842,0.403011912149771,20.1431386486699,3.09112900703131e-90,1.1227863733254e-86,"PKP2"
"ENSG00000166741",943.562426103007,3.9343736466811,0.195700803377143,20.1040239937033,6.80459131989157e-90,2.16266923624454e-86,"NNMT"
"ENSG00000162433",372.354349218984,8.24560923847074,0.410745193266498,20.0747552829446,1.22685356182895e-89,3.46599762922921e-86,"AK4"
"ENSG00000048740",346.416752935326,8.32608312396389,0.419704964825453,19.8379428926378,1.40074067662483e-87,3.56152324438628e-84,"CELF2"
"ENSG00000221955",296.550149752409,3.57042865966754,0.181063087916671,19.7192520062991,1.47392073685041e-86,3.40690078683259e-83,"SLC12A8"
"ENSG00000196730",419.44146270062,6.73899653994938,0.344390215710562,19.5679094019706,2.90349919857751e-85,6.15203088525265e-82,"DAPK1"
"ENSG00000134508",174.763731404702,6.65747655209335,0.357860433312226,18.6035558345307,3.00685416608512e-77,5.88094415591386e-74,"CABLES1"
"ENSG00000089472",339.55915437237,9.3436822048016,0.504739160086876,18.5119026690803,1.65548578364036e-76,3.00659868105999e-73,"HEPH"
"ENSG00000125730",2144.86999123932,10.7384900086016,0.581737536429102,18.4593383375568,4.38682573474026e-76,7.43596207543373e-73,"C3"
"ENSG00000079739",909.308310581738,3.30969513845598,0.180243844821335,18.362319899116,2.63122549191019e-75,4.18134620983178e-72,"PGM1"
"ENSG00000136574",215.34830932276,7.71429352446825,0.422306600951445,18.2670446237121,1.51432921562172e-74,2.26490203743517e-71,"GATA4"
"ENSG00000154864",193.936701211636,6.6602963746439,0.368361681274884,18.0808610482852,4.50984373784708e-73,6.37040482658332e-70,"PIEZO2"
"ENSG00000169184",159.570184624065,7.69698475611779,0.427178525004137,18.0181921739705,1.40252191758169e-72,1.87686959349643e-69,"MN1"
"ENSG00000162692",438.363807236247,8.80120931992133,0.503316834465282,17.4864195219531,1.81828274077012e-68,2.31158284834106e-65,"VCAM1"
